codigo,titulo,diretor,pais,ano,duracao,produtora,festivais,premios,data_lancamento,tipo_duracao
1307,"Bom dia, meu nome é Sheila, ou Como trabalhar em telemarketing e ganhar um vale-coxinha",Angelo Defanti,Brasil,2009,17,Sobretudo Produção,"Festival do Rio 2009 – Mostra Competitiva – Prêmio Porta Curtas; Melhor Filme – II Curta Copa 2009, Prêmio Luis Espinal na 5ª Mostra CineTrabalho/Marília; Seleção do Curta-SE – Festival Íberoamericano de Cinema de Sergipe, da Mostra de Cinema de Marília 2010, do do Santa Maria Cine Vídeo 2009, Araribóia Cine 2009, do 3º Festival de Cinema de Triunfo/PE 2010, do 3º MIAU 2010, do Festival de Cinema de Campo Grande 2010, do 7º Cinedocumenta de Ipatinga 2010, do II Festival do Filme Etnográfico do Recife 2010, da FAT 2.0 - Festival de Artes e Tecnologia 2010 – Campo Grande/MS, do Festcine Amazônia 2010 – Porto Velho/RO, do Festival de Cinema de Ribeirão Pires 2010, do 15º FBCU, do 3º Entretodos 2010 – Festival de Curtas de Direitos Humanos/SP, da 1ª Mostra Curta Sertão 2010 – Olinda/PE, do Festival de Arte e Tecnologia 2.0 – Campo Grande/MS, do IV Curta Cabo Frio/RJ 2010, III Curta Taquary/PE 2010, da Mostra de Ourinhos 2009, do 1º Festival Nacional de Cinema de Petrópolis 2010, do 3º Curta Jacaré 2010, da Mostra do Filme Livre 2010, do MOSCA 6 – Mostra Audiovisual de Cambuquira/MG 2010, do Curta Carajás 2009 e do III Festival do Filme Etnográfico do Recife 2011.","Festival do Rio 2009 – Mostra Competitiva – Prêmio Porta Curtas; Melhor Filme – II Curta Copa 2009, Prêmio Luis Espinal na 5ª Mostra CineTrabalho/Marília; Seleção do Curta-SE – Festival Íberoamericano de Cinema de Sergipe, da Mostra de Cinema de Marília 2010, do do Santa Maria Cine Vídeo 2009, Araribóia Cine 2009, do 3º Festival de Cinema de Triunfo/PE 2010, do 3º MIAU 2010, do Festival de Cinema de Campo Grande 2010, do 7º Cinedocumenta de Ipatinga 2010, do II Festival do Filme Etnográfico do Recife 2010, da FAT 2.0 - Festival de Artes e Tecnologia 2010 – Campo Grande/MS, do Festcine Amazônia 2010 – Porto Velho/RO, do Festival de Cinema de Ribeirão Pires 2010, do 15º FBCU, do 3º Entretodos 2010 – Festival de Curtas de Direitos Humanos/SP, da 1ª Mostra Curta Sertão 2010 – Olinda/PE, do Festival de Arte e Tecnologia 2.0 – Campo Grande/MS, do IV Curta Cabo Frio/RJ 2010, III Curta Taquary/PE 2010, da Mostra de Ourinhos 2009, do 1º Festival Nacional de Cinema de Petrópolis 2010, do 3º Curta Jacaré 2010, da Mostra do Filme Livre 2010, do MOSCA 6 – Mostra Audiovisual de Cambuquira/MG 2010, do Curta Carajás 2009 e do III Festival do Filme Etnográfico do Recife 2011.",2009-09-28,Curta-metragem
1309,Restos,cristina maure e Pablo Lobato,Brasil,2003,11,Não informado,"01 - 14º São Paulo International Short Film Festival, Brasil 200302 - 3ª Mostra Curta Minas – Belo Horizonte, Brasil 200303 - 9º Rio de Janeiro International Short Film Festival 200304 - Fluxus, 4º International Film Festival on the internet 200305 - 7ª Mostra de Cinema de Tiradentes – MG – Brasil – 200406 - Mostra do Filme Livre, Rio de Janeiro – Brasil - 200407 - 7º Cine las Américas - International film Festival - Austin – Texas – 200408 - 3º Ecocine – Fest. Nac. de Cinema e Vídeo Ambiental – S. Sebastião - SP - 200409 - Curta-se Festival Brasileiro de Curtas Metragens de Aracaju - 200410 - 8 º Florianópolis Audiovisual Mercosul - FAM 200411 - Catarina Festival de documentários - 200412 - 1ª Mostra Angracine – Angra dos Reis – 200413 - Festival de Curtas de Goiânia - 200414 - Cine Amazônia – Mostra de Cinema e Vídeo Ambiental - Rondônia - 200415 - Les Ecrans Documentaires – França – 200416 - Festival Guarnicê – São Luis do Maranhão – 200517 - MoVa – Festival Ambiental Caparao – ES – 200518 - Mostra Nacional de Vídeo Ecológico – Mato Grosso - 200519 - 7th morbegno film festival – Itália – 200520 – Festival de Documentários de Maringá – PR – 2005",01 - Melhor Documentário no 8º Florianópolis Audiovisual Mercosul 2004;02 - Melhor Edição no Catarina Festival de Documentário 2004;03 - Melhor Trilha Sonora no Cararina Festival de Documentário 2004;04 - Melhor Filme pelo jurí popular no Catarina Festival de Documentário 2004;05 – Menção Honrosa - II MoVA Caparao – Mostra de Vídeo Ambiental – ES - 2005,,Curta-metragem
1310,Rio de Mulheres,cristina maure e Joana Oliveira,Brasil,2009,21,Vaca Amarela Produções Multimidia LTDA,_ Gramado Cine Vídeo – Gramado – Brasil - 2009_ ForumDoc BH – 13º Fest. Do filme Doc. e Etnográfico - 2009_ Mostra de Cinema de Tiradentes – 2010 _ FELCO – Festival Latino de La Clase Obrera – Palácios das Artes – 2010_ Cine Documenta – 7ª mostra de cinema doc.de Ipatinga – 2010_ BAFF – Bahia Afro Film Festival – 2010 _ FEMINA – Femina Festival – Rio de Janeiro - Brasil_ Cinesul 2010– Festival Ibero Americano – Rio de Janeiro –2010_ 33º Festival do Guanircê – São Luis Maranhão - 2010,Melhor documentário Gramado Cine Video – 2009Melhor direção BAFF – Bahia – 2010Melhor Fotografia – BAFF – Bahia – 2010Melhor curta – BAFF – Bahia – 2010Melhor filme do Festival – BAFF – Bahia - 2010,,Curta-metragem
1311,Eixo,Uliana Duarte,Brasil,2010,18,nonanuvem filmes,VIII ABD CINE GOIÁS5ª Mostra de Cinema de Ouro Preto (cineOP),Não informado,2010-03-29,Curta-metragem
1312,O apito,Alan Minas,Brasil,2000,5,Caraminhola Produções Artística LTDA.,Festival Cine Flô; Festival 5 minutos Bahia;,Não informado,,Curta-metragem
1313,"Thomaz Farkas, brasileiro",Walter Lima J&uacute;nior,Brasil,2004,16,Urca Filmes,Festival Internacional de Curtas de São Paulo; Festival Internacional de Curtas do Rio de Janeiro;RECINE; Festival Cinedocumenta; Festival do Uruguay 2005; Festival de Curtas de Belo Horizonte,Prêmio de Melhor Edição para Renato Martins no festival RECINE 2004,,Curta-metragem
1314,Alguém tem que honrar essa derrota!,LEONARDO ESTEVES,Brasil,2009,7,Filmes da Garotada,- 20º Festival Internacional de Curtas-metragens de São Paulo- 9ª Goiânia Mostra Curtas- Curta Cinema 2009 - Festival Internacional de Curtas-metragens do Rio de Janeiro- Vale OpenAir - 2009- VIII Araribóia Cine - Festival de Niterói- 16º Vitória Cine Vídeo- 4ª Mostra de Cinema de Itabira - 35ª Curta nas Telas (Porto Alegre)- 13ª Mostra de Cinema de Tiradentes- 9ª Mostra do Filme Livre- 1ª CineIpoema - Mostra de Cinema de Ipoema- 38º Festival Internacional de Cine de Huesca (Espanha)  - Mostra Clássicos Brasileiros em P&B (Caixa Cultural - RJ) - Cinesul 2010 - Festival Latino-Americano de Cinema e Vídeo- 14º FAM - Florianópolis Audiovisual Mercosul- 7º Festival de Cinema de Maringá (Paraná)- 3ª Mostra Outros Cinemas (Ceará) - Semana Paulistana do Curta-metragem 2010- Curta-SE 10 - Festival Íberoamericano de cinema de Sergipe,* Menção Honrosa no 16º Vitória Cine Vídeo* Prêmio de Melhor Filme na 9ª Mostra do Filme Livre,2009-08-23,Curta-metragem
1315,Multiplicadores,RENATO MARTINS,Brasil,2006,21,URCA FILMES,Não informado,Único curta-metragem beneficiado pela Seleção Patrocínios do BNDES 2004.,,Curta-metragem
1316,Achados e perdidos,EDUARDO ALBERGARIA,Brasil,2002,21,URCA FILMES,Não informado, premiado pelo Ministério da Cultura como “melhor roteiro” e no Festival de Curtas-Metragens de São Paulo com o prêmio de aquisição Canal Brasil e “Melhores do Público”.,,Curta-metragem
1317,O Apóstolo do Sertão,Laercio Filho,Brasil,2008,20,Acauã Produções Culturais,Fest Aruanda (João Pessoa - PB); Comunicurtas (Campina Grande - PB); Cinema com Farinha (Patos - PB); Mostra do Audiovisual Paraibano (UFPB/João Pessoa); Mostra Acauã do Audiovisual Paraibano e Mostra BNB de Cinema,Prêmio Zé do Norte de Cultura Sertaneja,,Curta-metragem
1318,Bailão,Marcelo Caetano,Brasil,2009,17,PaleoTV,"Festival de Brasilia, 2009; Mostra de Cinema de Tiradentes, 2010; Festival de Recife (Cine Pe), 2010; Festival de Huesca (Espanha), 2010; Festival Guarnicê - São Luis/MA, 2010; CineOP - Ouro Preto/MG 2010; FAM - Florianópolis/SC, 2010. ","Melhor curta - Festival de Recife (Cine PE), 2010Melhor montagem - Festival de Brasília, 2009Melhor curta/ABD e trilha - Festival Guarnicê, 2010Prêmio Cidadania e Diversidade, APOGLBT, 2010",2009-11-20,Curta-metragem
1319,Cão guia,Gustavo Acioli,Brasil,1999,17,Lavoro Produções,"Festival de Brasília 99, Festival do Rio 99, Festival do Recife 2000, FBCU 2000, Festival de Gramado 2000, Festival de Curitiba 2000, Vitória CineVídeo 2000, Mostra de Tiradentes 2000, Festival Guarnicê 2000, Festival de Montevidéu 2000, Festival Wie Wir Leben 2001, entre outros.","Melhor Atriz - Festival do Rio 99; Melhor Atriz, Melhor Ator e Melhor Roteiro - Festival de Brasília 99; Prêmio do Público - Festival Guarnicê 2000; Prêmio do Público e  Prêmio de Contribuição Técnica - FBCU 2000; Melhor Atriz e Prêmio Canal Brasil - Festival de Gramado 2000; Melhor Atriz e Prêmio da Crítica - Festival de Curitiba 2000; Melhor Filme e Melhor Diretor - Festival Universitário de Belo Horizonte 2000; Prêmio Especial do Júri - Festival de Montevidéu 2000.",,Curta-metragem
1320,Numa noite qualquer,Gustavo Acioli,Brasil,2001,11,Lavoro Produções,FBCU 2001; Vitória CineVídeo 2001; Festiva de Curtas de São Paulo 2001; Mostra Curta Cinema 2001.,Melhor Ator - Vitória CineVideo 2001; Menção Honrosa - FBCU 2001.,,Curta-metragem
